ID,TYP,Q1A1,Q1A2,Q2A11,Q2A12,Q2A13,Q2A2,Q2A3,Q3,Q4A1,Q4A2,Q4A3,Q4A4,Q4A5,Q4A6,Q4A7,Q5A1,Q5A2,Q5A3,Q5A4,Q5A5,Q5A6,Q5A7,Q6,Q8A1,Q8A2,Q8A3,Q8A4,Q8B1,Q8B2,Q8B3,Q8B4,Q9A1,Q9A2,Q9A3,Q9A4,Q9A5,Q9B1,Q9B2,Q9B3,Q9B4,Q9B5,Q10A1,Q10A2,Q10A3,Q10A4,Q10B1,Q10B2,Q10B3,Q10B4,Q11A1,Q11A2,Q11B1,Q11B2,Q12A1,Q12A2,Q12B1,Q12B2,Q13A1,Q13A2,Q13A3,Q13A4,Q13B1,Q13B2,Q13B3,Q13B4,Q14A1,Q14A2,Q14A3,Q14A4,Q14B1,Q14B2,Q14B3,Q14B4,Q15A1,Q15A2,Q15A3,Q15A4,Q15A5,Q15A6,Q17A1,Q17A2,Q17A3,Q17A4,Q18A1,Q18A2,Q18A3,Q18A4,Q21,Q22A01,Q22A02,Q22A03,Q22A04,Q22A05,Q22A06,Q22A07,Q22A08,Q22A09,Q22A10,Q22A11,Q22B01,Q22B02,Q22B03,Q22B04,Q22B05,Q22B06,Q22B07,Q22B08,Q22B09,Q22B10,Q22B11,Q22C01,Q22C02,Q22C03,Q22C04,Q22C05,Q22C06,Q22C07,Q22C08,Q22C09,Q22C10,Q22C11,Q25,Q26,Q27A1,Q27A2,Q27A3,Q27A4,Q27A5,Q27A6,Q27A7,Q27A8,Q29A01,Q29A02,Q29A03,Q29A04,Q29A05,Q29A06,Q29A07,Q29A08,Q29A09,Q29A10,Q29A11,Q29A12,Q30A1,Q30A2,Q30A3,Q30A4,Q30A5,Q30A6,Q30A7,WT_T
102383,7,1,1,1, , ,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,3,2,3,2,3,2,2,3,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2,3,3,3,3,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,3,2,5,2,3,3,2,2,3,0.303871053
103167,7,1,1,1, , ,2,2,1,2,2,3,3,3,2,2,4,4,3,3,4,2,3,1,3,1,3,1,4,3,3,1,1,3,3,3,1,2,1,2,2,1,1,1,1,1,4,3,2,3,2,2,4,3,4,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,3,2,1,4,4,4,4,4,4,4,4,1,1,1,1,2,1,2,1,1,2,1, ,2,2,1, ,2, ,1,2, ,2, ,3,4,3,2,3,2,3,3,2,3, ,3,3,4,4,4,4,3,2,3,3,1,4,3,2,2,4,4,3,2,2,2,4,3,4,3,4,4,3,2,0.303871053
108216,7,1,1,1, , ,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,1,1,1,1,1,3,1,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,2,4,4,4,3,4,3,3,4,3,3,2,2,2,2,2,2,2,1,2,2,2, , , , , , , ,1, , , , ,3,4,4,3,4,3,3,3,4,3, ,3,3,3,4,3,3,2,3,3,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.531774343
100887,7,1,1,1, , ,2,2,1,2,2,2,2,2,1,1,3,3,4,2,3,3,3,1,1,1,1,1,3,3,4,3,1,1,1,1,1,3,4,3,4,3,1,1,1,1,3,3,4,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,2,1,3,3,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2,2,2,2,2,2,3,3,3,3, ,3,3,3,2,3,2,3,3,3,2,2,5,4,4,3,4,4,3,3,4,3,3,4,5,3,4,5,3,4,0.486193685
102966,7,1,1,1, , ,1,2,1,2,2,2,2,2,2,2,3,2,3,4,3,2,2,1,1,1,1,1,4,1,4,3,1,1,1,1,1,3,4,3,3,1,1,1,1,1,4,4,3,2,1,1,2,3,1,1,3,3,1,1,1,1,3,2,1,1,1,1,1,1,2,2,2,2,2,2,3,2,3,2,3,4,3,4,2,2,1,4,2,2,2,2,2,2,2,1,2,2,2, , , , , , , ,2, , , , ,1,1,1,1,1,3,3,2,3,3, ,3,3,4,3,4,3,4,4,4,2,2,3,3,1,1,3,3,3,1,1,3,4,4,2,3,1,2,2,2,0.455806579
100358,7,1,1,1, , ,2,2,1,2,3,2,3,3,2,2,4,4,4,4,3,2,3,1,1,1,1,1,4,2,3,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,3,2,4,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,1,1,3,3,3,3,3,2,2,2,3,2,1,2,2,2,2,2,1,2,2,2, ,2, , , , , ,2, , , , ,4,3,3,3,4,4,3,3,4,3, ,3,3,3,4,4,4,4,4,3,3,3,4,4,2,2,3,3,3,1,2,2,5,4,3,3,3,4,3,3,0.490868624
102942,7,1,1,1, , ,2,2,1,1,1,1,1,1,1,1,3,2,3,3,3,3,3,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,1,3,3,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2, , , , , , , , , ,2, , ,1,1,1,1,1,1,3,1,3,1, ,3,3,3,2,3,3,2,4,4,1,1,3,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,0.455806579
105569,7,1,1,1, , ,2,2,1,1,1,2,1,2,1,2,3,3,3,4,3,3,3,1,1,1,1,1,4,1,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,2,1,3,3,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,1,1,1,4,4,3,3,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1, ,2,2,2,2,2,2,2,2,2,2, ,3,3,2,2,3,3,2,3,2,2, ,3,3,3,4,3,4,4,3,3,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.490868624
106404,7,1,1,1, , ,2,2,1,2,4,2,3,3,1,2,3,4,2,3,2,3,3,1,4,2,4,3,3,2,3,3,4,3,3,3,2,3,3,3,3,3,4,3,3,3,3,3,2,2,3,2,3,3,3,3,3,3,4,3,2,3,4,3,2,2,4,3,3,3,3,3,2,2,4,3,3,3,2,2,3,4,4,3,3,4,3,3,2,1,1,2,2,2,1,2,2,2,2, ,1,2, , , ,1, , , , , ,3,3,2,3,3,3,2,3,2,2, ,3,3,3,4,3,2,3,3,2,2,1,3,5,3,4,4,4,3,3,5,4,4,4,3,4,5,3,4,4,0.490868624
107503,7,1,1,1, , ,2,2,1,3,3,3,3,3,2,2,3,3,3,3,3,2,2,1,3,2,2,2,4,2,2,2,3,3,3,2,2,4,4,4,3,2,3,3,3,2,3,4,4,3,3,3,4,4,3,3,3,3,2,2,2,2,3,3,3,3,2,3,3,3,2,4,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1, ,1,2,1,1,1,2,1,2,2,2, ,3,3,3,3,3,3,4,3,3,3, ,3,3,3,4,4,3,4,3,4,3,4,4,3,3,3,3,3,2,2,2,4,4,4,3,4,3,4,3,3,0.455806579
100278,7,1,1,1, , ,2,2,1,3,2,2,2,3,2,3,2,2,3,3,3,2,3,1,2,2,2,2,3,2,2,2,2,2,2,3,2,3,2,3,3,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,3,3,2,2,2,2,3,2,2,2,2,2,3,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,1,2,1,2,2,1,1,2,2,1,2, , ,2, , ,2,2, , ,2, , ,3,3,3,3,2,3,2,3,3,3, ,3,3,3,3,3,3,3,3,4,2,3,3,3,2,2,3,3,2,2,2,4,4,3,3,2,3,3,2,3,0.531774343
107015,7,1,1,1, , ,2,2,1,3,3,3,2,2,2,2,3,3,2,3,4,2,2,1,2,2,2,2,3,3,3,3,2,2,2,2,2,3,3,3,2,2,2,2,2,2,4,4,4,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,3,2,3,3,4,3,3,3,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1, ,1,2,2,2,1,2,1,2,2,2, ,3,3,3,3,3,3,3,3,3,3, ,4,4,4,3,3,4,3,3,3,4,4,5,5,2,2,3,3,3,2,3,4,4,4,4,5,4,3,2,2,0.455806579
108298,7,1,1,1, , ,1,1,1,3,3,2,3,3,2,3,3,3,2,3,2,2,3,1,3,3,3,3,4,2,4,4,1,1,1,2,1,2,4,1,3,1,2,2,2,1,3,3,4,2,1,1,2,3,3,2,4,2,2,3,3,2,3,2,2,2,2,1,1,2,1,1,3,1,2,2,3,2,3,2,3,4,4,3,2,2,2,3,1,1,1,1,1,1,1,1,2,1,1, ,1,1,2,1,1,1,2, ,1,2, ,3,4,3,2,3,4,3,4,3,3, ,3,3,3,2,3,3,4,4,4,2,4,2,3,4,4,3,4,3,1,2,4,5,4,4,4,2,4,3,3,0.455806579
100579,7,1,1,1, , ,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,1,1,1,1,1,4,4,4,2,1,1,1,1,1,4,4,4,4,2,1,2,3,1,1,3,3,1,1,1,1,1,3,1,1,1,1,1,1,1,2,3,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,1,1,2,1,2,1,1,2,2,2,2, ,1, ,2, ,1,1, , , , , ,4,3,3,3,4,4,4,3,4,3, ,4,4,4,4,4,4,4,4,4,1,5,5,5,4,2,3,3,2,2,2,5,5,3,3,4,4,2,2,2,0.455806579
100294,7,1,1,1, , ,2,2,1,2,4,2,3,4,2,2,3,4,3,4,2,2,2,1,2,3,1,1,4,3,1,1,2,1,1,1,1,1,4,1,1,1,2,1,4,3,3,2,3,3,1,1,1,2,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,4,3,2,3,2,2,2,2,3,1,1,2,2,2,2,2,2,2,2,1, ,2, , , , , , , , ,2, ,4,4,3,3,3,3,4,3,3,3, ,3,3,3,3,4,3,4,4,4,2,3,3,3,3,2,3,2,2,2,2,3,5,3,3,3,2,2,2,2,0.490868624
103557,7,1,1,1, , ,2,2,1,2,3,2,3,2,2,3,3,3,2,3,3,3,3,1,4,2,3,2,4,1,3,1,1,1,1,1,1,3,3,1,1,2,3,1,1,1,4,2,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,2,1,2, , , , , , , ,1, ,2, , ,2,2,2,2,1,1,3,1,4,2, ,3,3,3,3,3,3,3,3,2,2,2,3,3,2,2,2,2,2,2,2,3,4,2,2,2,2,2,2,2,0.455806579
101904,7,1,1,1, , ,2,2,1,2,2,2,1,2,2,3,4,4,2,4,4,2,2,1,2,2,2,2,4,3,3,2,1,1,1,1,1,2,4,2,2,2,1,1,1,1,4,4,2,2,1,1,2,3,1,1,4,4,1,1,1,1,2,2,2,2,1,1,1,1,1,1,3,2,3,3,3,3,3,1,4,4,4,4,3,3,2,3,2,2,1,2,2,2,2,1,2,1,2, , ,2, , , , ,2, ,2, , ,3,3,2,2,2,2,4,2,3,2, ,4,4,4,4,4,4,4,4,4,3,2,5,5,2,2,4,2,2,2,2,2,5,4,3,5,2,4,2,2,0.455806579
107359,7,1,1,1, , ,1,1,1,3,4,3,4,3,3,3,4,4,3,3,3,2,3,1,3,3,2,3,4,3,3,3,2,1,1,3,2,3,4,2,3,2,3,2,2,2,4,3,3,2,2,2,3,3,3,3,3,4,3,2,2,1,3,3,2,2,3,1,2,2,3,2,2,3,3,4,2,2,4,3,3,4,3,3,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1, ,1,1,2,1,1,1,2,2,1,2, ,4,3,3,3,4,3,4,3,3,4, ,3,3,4,4,3,3,2,4,4,2,4,5,4,3,4,4,4,2,1,3,4,4,4,4,4,2,3,3,3,0.455806579
109374,7,1,1,1, , ,2,2,1,1,1,1,1,1,1,1,3,3,3,2,3,2,2,1,1,1,1,1,3,1,2,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,3,1,1,1,1,1,3,3,1,1,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,3,3,2,3,3,3,3,3,2,2,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1, ,2,2,2,2,2,2,2,2,2,2, ,3,4,3,3,4,3,3,4,3,3, ,3,3,3,3,3,2,3,4,3,3,3,4,3,4,4,3,4,4,3,3,4,4,1,1,1,1,1,1,1,0.607742106
108187,7,1,1,1, , ,2,2,1,1,1,1,1,1,1,1,3,4,3,4,3,3,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,3,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,3,3,3,3,4,3,3,3,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,3,4,3,4,3,3,4,3,4,3, ,3,3,3,4,3,3,4,3,3,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.580117465
100325,7,1,1,1, , ,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,2,3,2,3,2,2,1,1,1,2,2,1,3,3,2,3,2,2,1,1,2,3,3,3,2,2,2,2,2,2,2,3,2,2,1,1,1,2,2,3,3,1,1,1,1,2,2,3,3,2,2,3,2,2,2,3,3,2,3,2,2,2,3,1,1,1,2,2,1,1,1,1,2,1, ,2,2, , ,2,2,1,2, ,2, ,3,3,2,3,3,3,3,3,3,3, ,3,3,3,3,3,3,3,2,2,2,2,5,2,2,2,2,1,2,2,2,3,2,3,5,2,2,1,1,1,0.580117465
105565,7,1,1,1, , ,1,1,1,2,3,2,2,1,1,1,4,4,3,4,4,3,2,1,1,1,1,1,4,1,3,2,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,2,1,1,1,4,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,4,1,1,1,2,3,3,2,2,2,3,3,1,1,2,2,2,1,1,1,1,1,2, ,2, , , ,1,2,2,2,2, , ,3,3,4,3,4,3,3,3,4,3, ,3,3,3,2,3,3,2,3,3,3,1,4,5,1,1,3,1,1,1,1,3,4,1,1,1,1,1,1,1,0.580117465
101532,7,1,1,1, , ,1,1,1,3,3,3,3,3,4,3,3,3,4,3,3,4,3,1,1,1,1,1,3,2,4,1,1,1,1,1,1,2,4,1,1,1,1,1,1,1,3,3,2,2,2,1,3,3,1,2,1,1,2,2,1,1,1,2,1,1,2,1,1,1,3,2,2,1,3,4,1,2,2,3,4,4,3,3,2,2,2,2,2,1,1,2,2,1,2,1,2,1,2, ,2,2, , ,2, ,2, ,1, , ,2,2,2,2,2,2,2,2,3,2, ,3,3,3,2,3,3,3,3,3,2,5,5,4,1,3,4,4,2,2,2,4,5,4,4,4,5,4,3,3,0.607742106
110464,7,1,1,1, , ,1,1,1,3,3,3,1,2,1,1,2,3,3,3,2,3,2,1,1,1,1,1,4,2,4,1,1,1,1,1,1,2,4,3,3,2,1,1,1,1,4,3,4,2,1,1,4,1,1,1,4,1,1,1,1,1,3,2,1,1,1,1,1,1,3,2,3,2,4,4,2,2,3,2,4,4,4,4,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2, , , , , ,1,2,1, ,1, , ,4,3,4,4,3,3,4,2,3,1, ,3,3,3,3,3,3,3,2,3,2,4,3,2,3,4,2,3,2,4,3,2,4,4,4,3,4,4,3,3,0.631116802
109339,7,1,1,1, , ,2,2,1,1,1,1,1,1,1,1,4,3,3,4,3,3,3,1,1,1,1,1,4,1,2,1,1,1,1,1,1,2,4,1,1,1,1,1,1,1,4,4,4,1,1,1,3,3,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,3,4,3,3,2,1,2,3,1,2,2,2,2,1,2,1,1,1,1, , , , , ,1, ,2,1,2,2, ,3,2,3,3,4,3,3,3,3,4, ,3,3,4,3,3,4,3,4,3,1,1,4,4,3,2,4,2,1,1,1,3,5,3,2,1,1,1,1,1,0.607742106
108772,7,1,1,1, , ,2,2,1,2,2,2,1,1,2,1,2,2,3,2,3,2,2,1,1,1,1,1,3,2,1,1,1,1,1,1,1,3,4,2,2,1,1,1,1,1,3,3,3,2,1,1,3,3,1,1,3,3,2,1,1,1,2,1,2,1,3,3,2,2,3,2,2,1,2,2,3,3,2,2,3,4,4,3,3,3,4,3,2,2,2,2,2,1,2,1,1,2,2, , , , , ,2, ,2,2, , , ,3,3,4,3,4,3,3,3,3,3, ,3,3,3,4,3,2,3,4,4,4,2,4,1,1,2,2,2,1,2,2,2,2,2,2,2,2,3,2,2,0.607742106
105613,7,1,1,1, , ,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,4,3,3,3,3,2,2,2,3,2,2,2,2,2,1,1,1,1,1,1, , , , , ,2,2,2,2,2,2, ,3,3,3,3,3,3,3,3,3,3, ,3,3,3,2,3,3,4,4,4,2,1,3,2,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,0.623735319
108033,7,1,1,1, , ,2,2,1,1,1,1,1,1,1,1,3,3,2,2,3,3,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,1,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,2,2,2, , , , , , , ,2, , , , ,4,4,4,4,4,4,4,4,4,4, ,4,4,3,3,4,3,4,2,4,3,2,4,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,0.607742106
100975,7,1,1,1, , ,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,1,1,1,1,1,4,2,3,3,1,1,1,1,1,4,4,2,3,1,1,1,1,1,4,3,3,2,1,1,3,3,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2, ,3,3,3,3,2,2,2,2,2,2,1,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,0.623735319
